Rank,Player Name,Age,Official Points,+/-,Tournaments Played,Dropping,Next Best,Country
1,Novak Djokovic,36,9725,+50,18,,,Serbia
2,Carlos Alcaraz,20,8805,,18,360,,Spain
3,Jannik Sinner,22,8310,+40,20,600,,Italy
4,Daniil Medvedev,28,7765,+50,19,1000,,Russia
5,Alexander Zverev,26,5060,+110,26,,,Germany
6,Andrey Rublev,26,4970,-40,24,90,45,Russia
7,Holger Rune,20,3875,+155,23,90,10,Denmark
8,Casper Ruud,25,3560,+155,24,45,45,Norway
9,Hubert Hurkacz,27,3370,-35,24,45,10,Poland
10,Alex de Minaur,25,3300,+90,25,,,Australia
11,Stefanos Tsitsipas,25,3255,+85,25,90,15,Greece
12,Grigor Dimitrov,32,2935,+55,24,45,45,Bulgaria
13,Taylor Fritz,26,2935,-80,25,180,45,United States
14,Tommy Paul,26,2430,+310,27,90,45,United States
15,Ugo Humbert,25,2420,+5,29,,,France
16,Karen Khachanov,27,2265,-35,23,360,10,Russia
17,Ben Shelton,21,2220,+75,27,10,10,United States
18,Alexander Bublik,26,2002,+18,29,,,
19,Sebastian Baez,23,1990,+5,30,,,Argentina
20,Adrian Mannarino,35,1955,+5,29,90,11,France
21,Francisco Cerundolo,25,1845,+5,26,180,,Argentina
22,Frances Tiafoe,26,1805,-310,23,45,10,United States
23,Nicolas Jarry,28,1575,,25,,,Chile
24,Lorenzo Musetti,22,1520,+40,29,10,25,Italy
25,Jan-Lennard Struff,33,1484,-47,26,41,10,Germany
26,Tallon Griekspoor,27,1450,+5,26,,,Netherlands
27,Jiri Lehecka,22,1435,+175,27,45,20,Czech Republic
28,Alejandro Davidovich Fokina,24,1425,-170,25,45,10,Spain
29,Sebastian Korda,23,1395,+50,23,,,United States
30,Tomas Martin Etcheverry,24,1325,-10,28,25,10,Argentina
31,Cameron Norrie,28,1250,-130,25,10,10,
32,Christopher Eubanks,27,1233,-1,26,196,11,United States
33,Borna Coric,27,1214,+20,24,10,,Croatia
34,Jordan Thompson,29,1211,-35,29,,,Australia
35,Laslo Djere,28,1180,-10,24,25,10,Serbia
36,Felix Auger-Aliassime,23,1165,-130,22,45,,Canada
37,Arthur Fils,19,1128,+50,25,,,France
38,Matteo Arnaldi,23,1096,+5,24,,,Italy
39,Roman Safiullin,26,1085,+5,22,26,,Russia
40,Sebastian Ofner,27,1076,-40,33,50,25,
41,Aslan Karatsev,30,1073,,18,,,Russia
42,Jack Draper,22,1071,-80,20,,,
43,Daniel Evans,33,1066,,27,10,,
44,Alejandro Tabilo,26,1040,-76,24,19,,Chile
45,Alexei Popyrin,24,1032,-55,23,25,10,Australia
46,Miomir Kecmanovic,24,1030,,31,45,10,Serbia
47,Gael Monfils,37,1027,+90,22,10,,France
48,Emil Ruusuvuori,24,1006,-35,25,180,20,Finland
49,Zhizhen Zhang,27,1005,-1,26,,,China
50,Dominik Koepfer,29,1002,-6,24,130,16,Germany
51,Marcos Giron,30,1000,-15,28,,,United States
52,Dusan Lajovic,33,957,+30,24,45,,Serbia
53,Lorenzo Sonego,28,955,+20,27,90,10,Italy
54,Daniel Altmaier,25,951,-10,28,26,10,Germany
55,Facundo Diaz Acosta,23,943,-20,27,,,Argentina
56,Yannick Hanfmann,32,940,+20,29,,,Germany
57,Fabian Marozsan,24,929,+15,26,7,6,Hungary
58,Alexander Shevchenko,23,924,-76,33,,,
59,Mariano Navone,23,899,-7,23,16,,Argentina
60,Tomas Machac,23,891,+23,24,8,7,Czech Republic
61,Nuno Borges,27,887,,29,26,10,Portugal
62,Andy Murray,36,870,-15,27,10,10,
63,Flavio Cobolli,21,865,-15,33,30,25,Italy
64,Roberto Carballes Baena,30,851,+20,31,25,,Spain
65,Aleksandar Vukic,27,834,+33,30,26,7,Australia
66,Christopher O'Connell,29,833,+14,31,18,16,Australia
67,Pavel Kotov,25,823,+4,22,26,,Russia
68,Max Purcell,25,796,,32,90,20,Australia
69,Mackenzie McDonald,28,790,-25,26,45,10,United States
70,Jakub Mensik,18,781,+30,24,,,Czech Republic
71,Yoshihito Nishioka,28,778,-10,22,10,,Japan
72,Jaume Munar,26,776,,30,16,10,Spain
73,Alex Michelsen,19,776,+22,27,16,7,United States
74,Arthur Cazaux,21,774,+5,27,30,8,France
75,Luciano Darderi,22,771,-16,28,,,Italy
76,Thiago Seyboth Wild,24,768,-52,24,,,Brazil
77,Botic van de Zandschulp,28,750,,25,90,,Netherlands
78,Taro Daniel,31,742,-31,28,45,11,Japan
79,Pedro Cachin,28,739,-15,29,16,10,Argentina
80,Luca Van Assche,19,736,+40,26,125,10,France
81,Rinky Hijikata,23,724,-30,29,,,Australia
82,Arthur Rinderknech,28,723,+3,29,10,10,France
83,Stan Wawrinka,38,717,-80,21,,,Switzerland
84,Daniel Elahi Galan,27,712,+3,30,11,10,Colombia
85,Alexandre Muller,27,709,+20,30,25,10,France
86,Marton Fucsovics,32,692,-90,22,25,,Hungary
87,Federico Coria,32,687,,30,,,Argentina
88,Pedro Martinez,26,671,-16,29,40,16,Spain
89,Hugo Gaston,23,662,-42,28,,,France
90,Dominic Thiem,30,655,,25,,,
91,Jurij Rodionov,24,651,+20,27,136,,
92,Brandon Nakashima,22,650,+5,28,25,20,United States
93,Constant Lestienne,31,645,+39,36,,,France
94,J.J. Wolf,25,640,,24,25,10,United States
95,Juan Pablo Varillas,28,637,+75,25,85,,
96,Luca Nardi,20,623,+110,26,,,Italy
97,Sumit Nagal,26,623,+20,25,,,
98,Aleksandar Kovacevic,25,616,-38,29,33,,United States
99,Thiago Agustin Tirante,22,615,-1,25,75,7,Argentina
100,Roberto Bautista Agut,35,614,,26,,,Spain
101,Thanasi Kokkinakis,27,608,-1,24,33,9,Australia
102,Maximilian Marterer,28,608,-29,21,,,Germany
103,Fabio Fognini,36,601,+33,21,10,,Italy
104,Cristian Garin,27,590,-100,23,61,,Chile
105,Albert Ramos-Vinolas,36,588,,31,,,Spain
106,David Goffin,33,583,+30,29,,,
107,Corentin Moutet,24,577,,28,,,France
108,Zsombor Piros,24,575,+3,30,41,15,Hungary
109,James Duckworth,32,569,,24,11,7,Australia
110,Thiago Monteiro,29,564,+12,24,25,6,Brazil
111,Tomas Barrios Vera,26,558,-30,27,11,,Chile
112,Camilo Ugo Carabelli,24,558,+64,21,,,Argentina
113,Quentin Halys,27,535,-45,21,90,,France
114,Zizou Bergs,24,535,+22,22,,,
115,Francisco Comesana,23,533,-19,28,,,Argentina
116,Vit Kopriva,26,531,-17,25,45,,Czech Republic
117,Duje Ajdukovic,23,528,,27,,,Croatia
118,Dominic Stricker,21,527,-30,17,9,,Switzerland
119,Borna Gojo,26,522,-26,18,8,,Croatia
120,Richard Gasquet,37,521,-17,34,25,10,France
121,Gregoire Barrere,30,516,,29,45,11,France
122,Diego Schwartzman,31,513,-25,25,45,,Argentina
123,Yosuke Watanuki,25,512,,21,41,,Japan
124,Juncheng  Shang,19,507,+42,20,,,China
125,Michael Mmoh,26,507,,19,,,United States
126,Denis Shapovalov,24,505,+20,21,45,,Canada
127,Otto Virtanen,22,505,,26,120,,Finland
128,Lukas Klein,25,502,+43,26,8,7,
129,Terence Atmane,22,494,+23,29,25,8,France
130,Facundo Bagnis,34,492,+38,25,25,,Argentina
131,Liam Broady,30,489,-3,26,60,,
132,Emilio Nava,22,488,+14,31,25,7,United States
133,Gabriel Diallo,22,488,,25,65,,Canada
134,Felipe Meligeni Alves,26,484,,27,37,14,Brazil
135,Hamad Medjedovic,20,482,-50,18,7,,Serbia
136,Zachary Svajda,21,479,+21,26,,,United States
137,Hugo Grenier,27,478,+23,24,75,,France
138,Benoit Paire,34,478,-87,37,26,8,France
139,Mikhail Kukushkin,36,476,+12,23,9,,
140,Patrick Kypson,24,473,+30,24,1,,United States
141,Harold Mayot,22,472,+13,28,25,,France
142,Matteo Berrettini,27,470,+48,15,10,,Italy
143,Shintaro Mochizuki,20,469,+21,21,,,Japan
144,Giulio Zeppieri,22,467,,28,31,14,Italy
145,Bernabe Zapata Miralles,27,457,,28,10,,Spain
146,Valentin Vacherot,25,456,,29,5,3,
147,Alex Molcan,26,451,-35,24,45,,
148,Andrea Vavassori,28,450,-27,19,30,,Italy
149,Matteo Gigante,22,450,,24,16,,Italy
150,Adam Walton,24,445,,34,,,Australia
151,Jesper de Jong,23,436,-33,22,34,,Netherlands
152,Pablo Llamas Ruiz,21,431,,25,32,,Spain
153,Jason Kubler,30,426,-45,17,10,,Australia
154,Titouan Droguet,22,426,+41,25,4,3,France
155,Radu Albot,34,425,-6,29,8,6,
156,Benjamin Hassan,29,422,+4,31,36,6,Germany
157,Juan Manuel Cerundolo,22,417,+18,30,,,Argentina
158,Nicolas Moreno De Alboran,26,417,+30,26,11,3,United States
159,Damir Dzumhur,31,417,-4,25,7,,
160,Pierre-Hugues Herbert,33,413,+5,21,30,,France
161,Roman Andres Burruchaga,22,408,+5,33,,,Argentina
162,Andrea Pellegrino,26,400,-10,22,11,,Italy
163,Denis Kudla,31,397,+55,24,10,,United States
164,Stefano Napolitano,28,392,-1,26,,,Italy
165,Giovanni Mpetshi Perricard,20,387,-1,28,2,,France
166,Filip Misolic,22,382,-8,23,8,,
167,Marc Polmans,26,378,,32,41,14,Australia
168,Benjamin Bonzi,27,373,+2,30,,,France
169,Jan Choinski,27,370,+3,34,45,,
170,Leandro Riedi,22,367,-29,19,,,Switzerland
171,Sho Shimabukuro,26,365,,22,,,Japan
172,Dalibor Svrcina,21,363,,28,,,Czech Republic
173,Dino Prizmic,18,362,-15,20,16,,Croatia
174,Yunchaokete Bu,22,357,+4,18,30,,China
175,Vitaliy Sachko,26,353,-18,27,25,,
176,Ivan Gakhov,27,351,,26,91,,Russia
177,Rudolf Molleker,23,347,+23,35,16,4,Germany
178,Elias Ymer,27,345,+3,27,,,
179,Mattia Bellucci,22,340,+5,32,,,Italy
180,Marco Trungelliti,34,338,+44,29,16,6,Argentina
181,Billy Harris,29,338,+1,34,54,5,
182,Lloyd Harris,27,336,,23,,,
183,Hugo Dellien,30,336,-63,31,,,
184,Denis Yevseyev,30,335,-6,27,3,1,
185,Genaro Alberto Olivieri,25,332,-18,20,,,Argentina
186,Li Tu,27,330,+19,29,,,Australia
187,Matteo Martineau,25,328,+9,30,,,France
188,Maxime Cressy,26,325,-10,27,10,,United States
189,Joris De Loore,30,323,,21,,,
190,Stefano Travaglia,32,317,-4,30,16,,Italy
191,Beibit Zhukayev,23,316,,23,21,,
192,Kimmer Coppejans,30,314,-16,21,50,,
193,Kyrian Jacquet,22,312,-3,20,17,,France
194,Alexander Ritschard,29,309,+7,26,,,Switzerland
195,Franco Agamenone,30,307,+6,24,,,Italy
196,Mark Lajal,20,307,,27,20,,
197,Milos Raonic,33,305,+30,9,,,Canada
198,Gijs Brouwer,28,300,+12,26,,,Netherlands
199,Ugo Blanchet,25,299,,24,,,France
200,Nerman Fatic,29,299,-10,28,,,
201,Seongchan Hong,26,298,+30,26,,,
202,Clement Tabur,24,298,+23,27,,,France
203,Oliver Crawford,24,296,,28,,,
204,Martin Damm,20,296,,28,,,United States
205,Dane Sweeny,23,295,,29,25,4,Australia
206,Santiago Rodriguez Taverna,24,295,-10,33,,,Argentina
207,Oriol Roca Batalla,30,290,-14,33,9,,Spain
208,Omar Jasika,26,289,-5,29,,,Australia
209,Marc-Andrea Huesler,27,288,-13,27,36,,Switzerland
210,Calvin Hemery,29,288,+4,25,7,,France
211,Daniel Rincon,21,285,-7,26,2,,Spain
212,Coleman Wong,19,285,,27,,,
213,Jozef Kovalik,31,284,+6,25,18,,
214,Mate Valkusz,25,283,-7,19,,,Hungary
215,Ryan Peniston,28,283,,28,,,
216,Marco Cecchinato,31,281,,22,,,Italy
217,Ilya Ivashka,30,281,-45,17,25,,
218,Dennis Novak,30,278,,24,,,
219,Lukas Neumayer,21,278,-2,34,1,,
220,Geoffrey Blancaneaux,25,277,,30,8,,France
221,Alexis Galarneau,25,276,-9,22,,,Canada
222,Antoine Escoffier,32,276,-24,27,16,,France
223,Jules Marie,32,276,-22,33,,,France
224,Goncalo Oliveira,29,271,-13,37,25,3,Portugal
225,Gustavo Heide,22,269,+20,22,,,Brazil
226,Francesco Maestrelli,21,266,+22,30,,,Italy
227,Francesco Passaro,23,265,+4,27,,,Italy
228,Abdullah Shelbayh,20,265,,31,4,,
229,Murkel Dellien,26,265,+28,32,8,4,
230,Tristan Boyer,22,264,-2,21,,,United States
231,Enzo Couacaud,29,263,,17,25,,France
232,Yu Hsiou Hsu,24,261,+4,21,,,
233,Zdenek Kolar,27,261,+5,34,,,Czech Republic
234,Aziz Dougaz,26,261,-13,34,,,
235,Guido Pella,33,260,-25,10,25,,Argentina
236,Federico Gaio,32,256,-31,25,30,,Italy
237,Juan Pablo Ficovich,27,256,+25,31,,,Argentina
238,Dimitar Kuzmanov,30,255,,23,,,Bulgaria
239,Alejandro Moro Canas,23,254,-1,23,,,Spain
240,Henri Squire,23,254,+50,32,16,2,Germany
241,Alessandro Giannessi,33,253,-5,30,75,,Italy
242,Lucas Pouille,30,252,+50,14,,,France
243,Steve Johnson,34,247,,13,,,United States
244,Yasutaka Uchiyama,31,244,+6,22,,,Japan
245,Chun-Hsin Tseng,22,236,+79,19,7,,
246,Edoardo Lavagno,25,236,-13,30,18,1,Italy
247,Manuel Guinard,28,232,+2,27,,,France
248,Henrique Rocha,19,232,,28,,,Portugal
249,Tristan Schoolkate,23,231,-6,31,8,1,Australia
250,Dmitry Popko,27,228,+28,26,,,
251,Illya Marchenko,36,227,-39,22,,,
252,Maxime Janvier,27,227,-2,31,32,,France
253,Ethan Quinn,20,226,+30,22,,,United States
254,Adrian Andreev,22,223,-16,30,7,,Bulgaria
255,Nicholas David Ionel,21,223,-5,34,14,4,
256,Jason Jung,34,221,,18,,,
257,Liam Draxl,22,220,+36,16,,,Canada
258,Ricardas Berankis,33,219,-8,21,84,,
259,Yuta Shimizu,24,219,-44,24,3,,Japan
260,Maks Kasnikowski,20,218,,29,,,Poland
261,Enrico Dalla Valle,25,217,,29,5,2,Italy
262,Alibek Kachmazov,21,215,,25,9,2,Russia
263,Thai-Son Kwiatkowski,29,215,+21,26,9,4,United States
264,Renzo Olivo,32,215,+20,27,11,2,Argentina
265,Arthur Fery,21,213,,15,,,
266,Gianluca Mager,29,213,-12,19,25,,Italy
267,Philip Sekulic,20,211,,26,,,Australia
268,Yibing Wu,24,210,-25,13,25,,China
269,Alex Bolt,31,209,+16,17,26,,Australia
270,Tung-Lin Wu,25,209,-41,21,,,
271,Dragos Nicolae Madaras,26,207,-1,20,22,,
272,Evgeny Donskoy,33,206,,27,50,,Russia
273,Timofey Skatov,23,205,,21,24,,
274,Andrea Collarini,32,204,+6,25,,,Argentina
275,Lucas Poullain,28,204,-14,26,20,2,France
276,Mathias Bourgue,30,203,,24,4,,France
277,Tristan Lamasine,31,201,-5,26,8,2,France
278,Joao Sousa,34,200,,20,7,,Portugal
279,Gauthier Onclin,23,200,-9,27,7,,
280,Tennys Sandgren,32,199,-8,23,,,United States
281,August Holmgren,25,199,,24,3,,Denmark
282,Mitchell Krueger,30,199,+6,26,,,United States
283,Giovanni Fonio,25,199,-6,33,20,4,Italy
284,Jiri Vesely,30,198,,17,,,Czech Republic
285,Nikolas Sanchez Izquierdo,25,197,-2,30,,,Spain
286,Alvaro Guillen Meza,21,195,+2,28,,,
287,Jaime Faria,20,194,+48,30,,,Portugal
288,Brandon Holt,25,193,,16,,,United States
289,Guido Andreozzi,32,193,-5,20,,,Argentina
290,Samuel Vincent Ruggeri,21,193,+6,30,,,Italy
291,Valentin Royer,22,191,,24,,,France
292,Hady Habib,25,191,+14,29,,,
293,Clement Chidekh,22,190,+25,17,,,France
294,Alexander Blockx,18,190,+12,21,,,
295,Matheus Pucinelli De Almeida,22,190,+6,26,,,Brazil
296,Michael Geerts,29,189,-13,33,43,3,
297,Mikael Ymer,25,187,-25,11,10,,
298,Bernard Tomic,31,187,,30,,,Australia
299,Antoine Bellier,27,186,,20,25,,Switzerland
300,Javier Barranco Cosano,25,186,,23,3,,Spain
301,John Isner,38,185,-10,11,10,,United States
302,Daniel Michalski,24,185,-4,22,,,Poland
303,Marius Copil,33,183,-4,15,41,,
304,Alexander Weis,26,183,-2,29,3,2,Italy
305,Ergi Kirkin,25,182,+17,23,,,
306,Luke Saville,30,182,-8,25,8,,Australia
307,Aidan Mayo,20,182,,27,6,,United States
308,Daniel Masur,29,179,+48,23,8,,Germany
309,Pedro Sakamoto,30,179,+25,27,,,Brazil
310,Riccardo Bonadio,30,179,-21,28,,,Italy
311,Filip Cristian Jianu,22,179,+27,39,,,
312,Marvin Moeller,25,175,-13,25,,,Germany
313,Gastao Elias,33,174,-17,16,66,,Portugal
314,Oscar Otte,30,173,-25,17,10,,Germany
315,Blaise Bicknell,22,172,+2,19,,,
316,Vilius Gaubas,19,172,+16,24,3,,
317,Nick Hardt,23,170,+16,22,,,
318,Moez Echargui,31,170,-13,27,,,
319,Sebastian Fanselow,32,170,,30,7,2,Germany
320,Michael Vrbensky,24,169,+6,28,,,Czech Republic
321,Raul Brancaccio,26,168,-7,24,7,,Italy
322,Dan Added,24,168,-3,32,50,1,France
323,David Jorda Sanchis,29,166,,26,16,,Spain
324,Joao Lucas Reis Da Silva,23,166,-9,29,,,Brazil
325,Andrew Paulson,22,165,,18,,,Czech Republic
326,Gonzalo Bueno,19,164,-11,23,,,
327,Cezar Cretu,22,164,+9,26,4,1,
328,Timo Stodder,27,162,,33,4,2,Germany
329,Steven Diez,33,160,-18,31,2,,Canada
330,Mathys Erhard,22,158,-1,32,,,France
331,Khumoyun Sultanov,25,157,,19,3,,
332,Maximilian Neuchrist,32,157,,22,67,,
333,Hazem Naw,24,157,-6,26,8,2,
334,Felix Gill,21,157,,28,,,
335,Hiroki Moriya,33,156,+8,21,,,Japan
336,Max Houkes,23,156,,31,25,1,Netherlands
337,Egor Gerasimov,31,154,+2,15,,,
338,Yanki Erel,23,154,,25,,,
339,Salvatore Caruso,31,154,-9,30,9,2,Italy
340,Toby Kodat,21,151,-1,23,8,,United States
341,Joao Fonseca,17,149,,11,,,Brazil
342,Norbert Gombos,33,149,,19,20,,
343,Guy Den Ouden,21,149,-1,20,,,Netherlands
344,Francesco Forti,24,149,,27,14,2,Italy
345,Charles Broom,25,149,,29,,,
346,Federico Agustin Gomez,27,145,+2,29,,,Argentina
347,Federico Delbonis,33,144,,14,,,Argentina
348,Omni Kumar,22,144,+7,26,,,United States
349,Aidan McHugh,23,144,-1,27,8,2,
350,Laurent Lokoli,29,143,,21,,,France
351,Kei Nishikori,34,143,,7,,,Japan
352,Gabriel Debru,18,142,,22,,,France
353,Nino Serdarusic,27,142,-28,27,7,,Croatia
354,Frederico Ferreira Silva,29,141,,24,7,,Portugal
355,Benjamin Lock,31,141,+4,33,2,,
356,Gerard Campana Lee,19,140,+4,23,4,,
357,Gilbert Klier Junior,23,139,,16,,,Brazil
358,Jay Clarke,25,139,+4,19,,,
359,Elmer Moller,20,138,,22,4,,Denmark
360,Martin Landaluce,18,137,-1,27,,,Spain
361,Yan Bai,34,136,,21,,,China
362,Rio Noguchi,25,136,,26,,,Japan
363,Eric Vanshelboim,22,136,-2,26,19,4,
364,Tim Handel,27,136,,28,,,Germany
365,Arthur Weber,31,135,,24,2,,France
366,Kalin Ivanovski,19,135,-2,24,5,,
367,Altug Celikbilek,27,135,-1,25,20,,
368,Mohamed Safwat,33,135,-1,29,2,1,
369,Carlos Sanchez Jover,23,134,,26,,,Spain
370,Damien Wenger,24,134,+12,29,2,1,Switzerland
371,Orlando Luz,26,133,-1,22,,,Brazil
372,Mikalai Haliak,25,133,,24,2,,
373,Giovanni Oradini,26,133,,25,,,Italy
374,Karl Friberg,24,133,,25,14,1,
375,Robert Strombachs,24,131,-13,26,4,1,
376,Marko Topo,20,130,+4,23,,,Germany
377,Dominik Palan,23,129,,24,,,Czech Republic
378,James McCabe,20,128,-41,24,2,,Australia
379,Louis Wessels,25,127,,30,,,Germany
